fnid,main_road,inner_road,city_branch,urban_secondary,suburban_road,sidewalks,free_way,cycleway,not_built_road,TRANS,LODGING,SPORT,PUBLIC,COMPANY,HOSPITAL,BUSINESS,INDOOR,MOTO,GOVERN,CAR_SERVICE,CAR_REPAIR,CAR_SALE,LIFE,EDU,SHOPPING,TRANSIT,ROAD,FINANCE,ATTRACTION,FOOD_SERVICE
1026,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3271,0.163960577,0.516723634,0.317594368,0,0,0,0,0,0,0.201570472,0,0.313815767,0.134059315,0.160984915,0,0,0,0,0,0,0,0,0,0.128384824,0,0,0,0,0,0.342109192
3881,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3982,0.081980288,0.775085451,0.158797184,0.235154965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4245,0,0,0.317594368,0,2.726562413,0,0,0,0,0,0,0,0,0.885417035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4598,0,0.387542725,0.714587328,0,0,0,0,0,0,0.221727519,0,0,0.589860985,0,0,0,0,0,0.310723991,0,0,0,0,0,0,0.217724717,0,0,0,0
5413,0.227022337,0.119243916,0.073291008,0.542665305,0,0,0,0,0,0.337411442,0,0,0.064115324,0.26947475,0,0.192682989,0.159077222,0,0,0.077003107,0.096468327,0,0,0.061401438,0,0.09466292,0,0,0,0
5662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5762,0.163960577,0.723413087,0,0.282185959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6861,0.184455649,0.871971132,0,0,0,0.124927919,0,0,0,0.705496652,0,0,0.402177944,0,0,0,0,0,0,0,0,0,0,0,0,0.09896578,0,0,0,0
7209,0.070268819,0,0.408335616,0.604684197,0,0,0,0,0,0.104588452,0.106441396,0.032565787,0,0.016705982,0.096835155,0.020904287,0,0,0.058627168,0.016708221,0,0,0.308799685,0.03996886,0,0.102700338,0,0,0,0.437856733
7802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7904,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0.368663115,0.664062776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7932,0.01143911,1.261767013,0.022157747,0,0,0.139454422,0.147142219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8191,0,0,0,0,0,0,0,0,0,0,1.692418194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125440037
8265,0.351344093,0.442905972,0,0,0,0,0,0,0,0,0.564139398,0.172598672,0,0.265625111,0,0,0,0,0.155361996,0,0,0,0,0,0,0.217724717,0,0,0,0
8279,0.270534951,0.31003418,0,0.352732448,0,0,0,0,0,0.124916912,0.026485418,0.048619344,0.041539506,0.137177287,0.265046457,0.031209217,0,0,0.196937741,0,0,0,0.172884331,0.019890607,0,0.137994539,0,0,0,0.123673276
