fnid,residential_density,landusemix,open_ratio,intersections_destiny,center,airport,railway,dock,coach,trans_count,sport_count,public_count,company_count,hospital_count,govern_count,life_count,edu_count,shopping_count,finance_count,attractions_count,food_service_count,cityBranch,cycleway,freeway,innerRoad,mainRoad,notBuiltRoad,sideWalks,subrbanRoad,urbunSecondary
4704,0.036326032,0.673111951,0.002965714,0.142857143,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9700,0.025811716,0.467923047,0.747371111,0.074074074,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0.04,0,0,0.04,0.146666667,0.12,0.186666667,0.16,0,0,0,0.306666667,0.151026034,0,0,0,0.305505346,0,0.386196641,0,0.157271978
14003,0.057359485,0.80017841,0.00277,0.175925926,0.213937937,0.214292306,0.110036725,0.057508808,0.011150705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9357,0.065397795,0.934625428,0,0.407407407,0.251275376,0.228173889,0.137308394,0.032168415,0.014054524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000,0.003453649,0.836498384,0.00635,0.259259259,0.197657917,0.206598223,0.089851163,0.053007879,0.065203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5420,0.009814951,0.84108796,0.105395,0.319444444,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10408,0.035374451,0.548921672,0.001888889,0.101851852,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11138,0.246461993,0.781969844,0,0.148148148,0.16509042,0.192105893,0.052822666,0.05835188,0.047506616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9697,0.062980981,0.768974165,0.163834444,0.101851852,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15433,0.014193497,0.818175663,0.007543333,0.416666667,0.217121835,0.215931949,0.114523006,0.058061909,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,0,0,0.355008339,0,0.64499166,0,0,0,0
5407,0.040586234,0.549943675,0.377207778,0.037037037,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0.5,0,0,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0
7912,0.03767235,0.511612509,0.63282,0.055555556,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0.103448276,0.034482759,0,0.017241379,0.120689655,0.017241379,0.275862069,0.137931035,0,0,0,0.293103448,0,0,0,0,0,0,0,0,0
6134,0.010290437,0.845594901,0.167328889,0.324074074,0.281571909,0.239346078,0.160878151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10050,0.046832134,0.50703086,0,0.166666667,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15765,0.004451713,0.772365254,0.141815556,0.046296296,0.014695564,0.140103531,0.113957829,0.12817351,0.005721879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18993,0.02135777,0.69763258,0.121438889,0.240740741,0.052204919,0.149965001,0.164070417,0.146171132,0.071686468,0.085526316,0.006578947,0,0.519736842,0.092105263,0.052631579,0.078947368,0.098684211,0,0.032894737,0,0.032894737,0.076809177,0,0,0.062541461,0.539698232,0,0.251259317,0,0.069691815
18277,0.063378226,0.720432722,0.065456667,0.111111111,0.040674412,0.146424085,0.153302049,0.143882873,0.049468699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7903,5.25503E-05,0.479088996,0.000578889,0.046296296,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0.196969697,0.060606061,0.045454545,0.106060606,0.121212121,0,0.106060606,0.03030303,0,0,0,0.333333333,0.264372176,0,0,0,0,0,0,0,0.735627824
7192,0.000726038,0.14381036,0.509473333,0,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13277,0.399743661,0.803840335,0.01077,0.268518519,0.138087678,0.181525855,0.030343811,0.068956375,0.003546451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10413,0.050837661,0.733169615,0.106604444,0.194444444,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10778,0.182116026,0.766330721,0.00628,0.055555556,0.155248092,0.187478082,0.040787142,0.063013179,0.039274835,0.292682927,0,0.048780488,0.195121951,0.097560976,0.048780488,0.073170732,0.097560976,0,0,0.024390244,0.12195122,0,0,0,0.859632622,0.114977617,0,0,0,0.025389762
12937,0.011860878,0.42803265,0,0.064814815,0.237586705,0.22417715,0.142788228,0.074379159,0.08967248,0,0,0,0,0,0,0,0,0,0,0,0,0.085957925,0,0.697056596,0,0.216985479,0,0,0,0
